"cluster" "jaccard" "cohort"
"B_16" 0.276595744680851 "B"
"B_16" 0.226415094339623 "B"
"B_17" 0.157894736842105 "B"
"B_17" 0.1388889 "B"
"B_17" 0.129411764705882 "B"
"B_17" 0.121212121212121 "B"
"B_17" 0.115384615384615 "B"
"B_18" 0.196969696969697 "B"
"B_18" 0.19205298013245 "B"
"B_18" 0.181818181818182 "B"
"B_18" 0.1570248 "B"
"B_18" 0.146067415730337 "B"
"B_19" 0.32258064516129 "B"
"B_19" 0.297872340425532 "B"
"B_19" 0.279187817258883 "B"
"B_19" 0.277777777777778 "B"
"B_19" 0.24 "B"
"B_2" 0.468085106382979 "B"
"B_2" 0.321428571428571 "B"
"B_2" 0.224489795918367 "B"
"B_2" 0.209302325581395 "B"
"B_2" 0.198198198198198 "B"
"B_20" 0.2 "B"
"B_20" 0.1986755 "B"
"B_20" 0.189320388349515 "B"
"B_20" 0.169312169312169 "B"
"B_20" 0.157051282051282 "B"
"B_21" 0.252100840336134 "B"
"B_21" 0.183823529411765 "B"
"B_21" 0.1796875 "B"
"B_21" 0.162393162393162 "B"
"B_21" 0.15625 "B"
"B_22" 0.459459459459459 "B"
"B_22" 0.204301075268817 "B"
"B_22" 0.1923077 "B"
"B_22" 0.188679245283019 "B"
"B_22" 0.179245283018868 "B"
"B_23" 0.336363636363636 "B"
"B_23" 0.315068493150685 "B"
"B_23" 0.270967741935484 "B"
"B_23" 0.252252252252252 "B"
"B_23" 0.24468085106383 "B"
"B_24" 0.39 "B"
"B_24" 0.154761904761905 "B"
"B_24" 0.15 "B"
"B_24" 0.144654088050314 "B"
"B_24" 0.126666666666667 "B"
"B_25" 0.413793103448276 "B"
"B_25" 0.168539325842697 "B"
"B_25" 0.161111111111111 "B"
"B_25" 0.149425287356322 "B"
"B_25" 0.133333333333333 "B"
"B_3" 0.387596899224806 "B"
"B_3" 0.355932203389831 "B"
"B_3" 0.267326732673267 "B"
"B_3" 0.215384615384615 "B"
"B_3" 0.2080925 "B"
"B_4" 0.568720379146919 "B"
"B_4" 0.483091787439614 "B"
"B_4" 0.47008547008547 "B"
"B_4" 0.396875 "B"
"B_4" 0.3484848 "B"
"B_5" 0.405405405405405 "B"
"B_5" 0.373737373737374 "B"
"B_5" 0.365384615384615 "B"
"B_5" 0.349056603773585 "B"
"B_5" 0.296296296296296 "B"
"B_6" 0.336734693877551 "B"
"B_6" 0.326923076923077 "B"
"B_6" 0.324561403508772 "B"
"B_6" 0.323529411764706 "B"
"B_6" 0.304761904761905 "B"
"B_7" 0.303571428571429 "B"
"B_7" 0.298507462686567 "B"
"B_7" 0.28125 "B"
"B_7" 0.193877551020408 "B"
"B_7" 0.168 "B"
"B_8" 0.407894736842105 "B"
"B_8" 0.40506329113924 "B"
"B_8" 0.292134831460674 "B"
"B_8" 0.217391304347826 "B"
"B_8" 0.215686274509804 "B"
"B_9" 0.258064516129032 "B"
"B_9" 0.230769230769231 "B"
"B_9" 0.22680412371134 "B"
"B_9" 0.221052631578947 "B"
"B_9" 0.211009174311927 "B"
"C_0" 0.403225806451613 "C"
"C_0" 0.303571428571429 "C"
"C_0" 0.278688524590164 "C"
"C_0" 0.224489795918367 "C"
"C_0" 0.179775280898876 "C"
"C_1" 0.358574610244989 "C"
"C_1" 0.357615894039735 "C"
"C_1" 0.3139932 "C"
"C_1" 0.279187817258883 "C"
"C_1" 0.268041237113402 "C"
"C_10" 0.231884057971014 "C"
"C_10" 0.185430463576159 "C"
"C_10" 0.167597765363128 "C"
"C_10" 0.16030534351145 "C"
"C_10" 0.157303370786517 "C"
"C_11" 0.355450236966825 "C"
"C_11" 0.352226720647773 "C"
"C_11" 0.342696629213483 "C"
"C_11" 0.314220183486238 "C"
"C_11" 0.294964 "C"
"C_12" 0.349397590361446 "C"
"C_12" 0.282258064516129 "C"
"C_12" 0.212121212121212 "C"
"C_12" 0.169491525423729 "C"
"C_12" 0.15625 "C"
"C_13" 0.366197183098591 "C"
"C_13" 0.315436241610738 "C"
"C_13" 0.3010753 "C"
"C_13" 0.277777777777778 "C"
"C_13" 0.273255813953488 "C"
"C_14" 0.354978354978355 "C"
"C_14" 0.2798507 "C"
"C_14" 0.271929824561403 "C"
"C_14" 0.267326732673267 "C"
"C_14" 0.267241379310345 "C"
"C_15" 0.348314606741573 "C"
"C_15" 0.348314606741573 "C"
"C_15" 0.326164874551971 "C"
"C_15" 0.32421875 "C"
"C_15" 0.260416666666667 "C"
"C_16" 0.410404624277457 "C"
"C_16" 0.294736842105263 "C"
"C_16" 0.256267409470752 "C"
"C_16" 0.2355212 "C"
"C_16" 0.219917012448133 "C"
"C_17" 0.242424242424242 "C"
"C_17" 0.194871794871795 "C"
"C_17" 0.1818182 "C"
"C_17" 0.06923077 "C"
"C_17" 0.0672645739910314 "C"
"C_18" 0.425806451612903 "C"
"C_18" 0.403225806451613 "C"
"C_18" 0.280952380952381 "C"
"C_18" 0.273255813953488 "C"
"C_18" 0.2291667 "C"
"C_19" 0.293762575452716 "C"
"C_19" 0.26149802890933 "C"
"C_19" 0.218851570964247 "C"
"C_19" 0.207692307692308 "C"
"C_19" 0.205103969754253 "C"
"C_2" 0.533333333333333 "C"
"C_2" 0.402777777777778 "C"
"C_2" 0.321428571428571 "C"
"C_2" 0.298507462686567 "C"
"C_2" 0.164893617021277 "C"
"C_20" 0.39 "C"
"C_20" 0.13849765258216 "C"
"C_20" 0.125 "C"
"C_20" 0.125 "C"
"C_20" 0.0977011494252873 "C"
"C_21" 0.396875 "C"
"C_21" 0.327433628318584 "C"
"C_21" 0.319311663479924 "C"
"C_21" 0.310769230769231 "C"
"C_21" 0.307835820895522 "C"
"C_22" 0.263157894736842 "C"
"C_22" 0.248 "C"
"C_22" 0.230769230769231 "C"
"C_22" 0.176136363636364 "C"
"C_22" 0.169724770642202 "C"
"C_23" 0.267326732673267 "C"
"C_23" 0.257352941176471 "C"
"C_23" 0.144827586206897 "C"
"C_23" 0.1176471 "C"
"C_23" 0.115577889447236 "C"
"C_24" 0.182692307692308 "C"
"C_24" 0.182291666666667 "C"
"C_24" 0.1629747 "C"
"C_24" 0.161111111111111 "C"
"C_24" 0.140518417462483 "C"
"C_25" 0.2710027100271 "C"
"C_25" 0.258312020460358 "C"
"C_25" 0.247457627118644 "C"
"C_25" 0.230994152046784 "C"
"C_25" 0.182374541003672 "C"
"C_3" 0.238297872340425 "C"
"C_3" 0.197080291970803 "C"
"C_3" 0.140625 "C"
"C_3" 0.138157894736842 "C"
"C_3" 0.127777777777778 "C"
"C_4" 0.363387978142077 "C"
"C_4" 0.343333333333333 "C"
"C_4" 0.253886010362694 "C"
"C_4" 0.252019386106624 "C"
"C_4" 0.230769230769231 "C"
"C_5" 0.526315789473684 "C"
"C_5" 0.476923076923077 "C"
"C_5" 0.468085106382979 "C"
"C_5" 0.28125 "C"
"C_5" 0.175824175824176 "C"
"C_6" 0.297872340425532 "C"
"C_6" 0.259615384615385 "C"
"C_6" 0.209302325581395 "C"
"C_6" 0.193877551020408 "C"
"C_6" 0.191387559808612 "C"
"C_7" 0.345454545454545 "C"
"C_7" 0.2978723 "C"
"C_7" 0.24468085106383 "C"
"C_7" 0.240963855421687 "C"
"C_7" 0.233695652173913 "C"
"C_8" 0.31304347826087 "C"
"C_8" 0.25 "C"
"C_8" 0.198198198198198 "C"
"C_8" 0.168 "C"
"C_8" 0.158333333333333 "C"
"C_9" 0.313846153846154 "C"
"C_9" 0.294117647058824 "C"
"C_9" 0.285714285714286 "C"
"C_9" 0.261194029850746 "C"
"C_9" 0.2558923 "C"
"D_0" 0.186991869918699 "D"
"D_0" 0.186046511627907 "D"
"D_0" 0.177304964539007 "D"
"D_0" 0.162790697674419 "D"
"D_0" 0.155555555555556 "D"
"D_1" 0.227642276422764 "D"
"D_1" 0.212962962962963 "D"
"D_1" 0.2 "D"
"D_1" 0.194690265486726 "D"
"D_1" 0.193965517241379 "D"
"D_10" 0.238095238095238 "D"
"D_10" 0.226229508196721 "D"
"D_10" 0.223728813559322 "D"
"D_10" 0.205741626794258 "D"
"D_10" 0.165 "D"
"D_11" 0.217898832684825 "D"
"D_11" 0.2162162 "D"
"D_11" 0.214285714285714 "D"
"D_11" 0.209606986899563 "D"
"D_11" 0.201923076923077 "D"
"D_12" 0.2 "D"
"D_12" 0.142857142857143 "D"
"D_12" 0.13953488372093 "D"
"D_12" 0.131868131868132 "D"
"D_12" 0.129032258064516 "D"
"D_13" 0.3447099 "D"
"D_13" 0.314220183486238 "D"
"D_13" 0.292151162790698 "D"
"D_13" 0.266075388026608 "D"
"D_13" 0.237864077669903 "D"
"D_14" 0.280701754385965 "D"
"D_14" 0.273408239700374 "D"
"D_14" 0.228125 "D"
