"seurat_clusters"	"tissue"	"n"	"percent"	"percent2"	"group"	"n_cluster"	"percent_cluster"	"percent_cluster2"
"0"	"om"	773	28.5134636665437	30.5827699102027	"depot"	1822	17.5293438522224	4.25015391201875
"0"	"pvat"	139	52.4528301886792	56.2594869413058	"depot"	1822	17.5293438522224	4.25015391201875
"0"	"sc"	910	12.2674575357239	13.1577431484915	"depot"	1822	17.5293438522224	4.25015391201875
"1"	"om"	435	16.045739579491	48.6382062224401	"depot"	1422	13.6809697902636	3.9241920507866
"1"	"pvat"	10	3.77358490566038	11.438575325876	"depot"	1422	13.6809697902636	3.9241920507866
"1"	"sc"	977	13.1706659476948	39.9232184516839	"depot"	1422	13.6809697902636	3.9241920507866
"10"	"om"	23	0.848395426042051	12.3428712019749	"depot"	281	2.70348277852607	2.07158516245861
"10"	"pvat"	7	2.64150943396226	38.4299699425558	"depot"	281	2.70348277852607	2.07158516245861
"10"	"sc"	251	3.38366136424912	49.2271588554693	"depot"	281	2.70348277852607	2.07158516245861
"2"	"om"	338	12.4677240870527	46.2233591481959	"depot"	1360	13.08447181066	3.86636123361301
"2"	"pvat"	2	0.754716981132076	2.7980691448199	"depot"	1360	13.08447181066	3.86636123361301
"2"	"sc"	1020	13.7503370180642	50.9785717069842	"depot"	1360	13.08447181066	3.86636123361301
"3"	"om"	31	1.14348948727407	7.02288136706113	"depot"	1154	11.1025591687512	3.65564482267352
"3"	"sc"	1123	15.1388514424373	92.9771186329389	"depot"	1154	11.1025591687512	3.65564482267352
"4"	"om"	258	9.51678347473257	50.1048648877903	"depot"	961	9.24571868385607	3.42569006969232
"4"	"sc"	703	9.47694796441089	49.8951351122098	"depot"	961	9.24571868385607	3.42569006969232
"5"	"om"	204	7.52489856141645	43.6029429562993	"depot"	872	8.38945545507023	3.30589108378535
"5"	"pvat"	2	0.754716981132076	4.37319934718932	"depot"	872	8.38945545507023	3.30589108378535
"5"	"sc"	666	8.9781612294419	52.0238576965114	"depot"	872	8.38945545507023	3.30589108378535
"6"	"om"	165	6.08631501291037	26.8369694099809	"depot"	802	7.71598999422744	3.20413915045142
"6"	"pvat"	22	8.30188679245283	36.6063014190985	"depot"	802	7.71598999422744	3.20413915045142
"6"	"sc"	615	8.29064437853869	36.5567291709207	"depot"	802	7.71598999422744	3.20413915045142
"7"	"om"	363	13.3898930284028	33.2660129837831	"depot"	763	7.34077352318645	3.14417260369401
"7"	"pvat"	59	22.2641509433962	55.3133272076836	"depot"	763	7.34077352318645	3.14417260369401
"7"	"sc"	341	4.59692639525479	11.4206598085334	"depot"	763	7.34077352318645	3.14417260369401
"8"	"om"	97	3.57801549243821	22.6799224947239	"depot"	489	4.70463729074466	2.63334687608673
"8"	"pvat"	19	7.16981132075472	45.4471942338351	"depot"	489	4.70463729074466	2.63334687608673
"8"	"sc"	373	5.02830951739013	31.872883271441	"depot"	489	4.70463729074466	2.63334687608673
"9"	"om"	24	0.885282183696053	10.1872357877247	"depot"	468	4.50259765249182	2.58558696894627
"9"	"pvat"	5	1.88679245283019	21.7119467142466	"depot"	468	4.50259765249182	2.58558696894627
"9"	"sc"	439	5.91803720679428	68.1008174980286	"depot"	468	4.50259765249182	2.58558696894627
