"" "Adipo_0" "Adipo_1" "Adipo_2" "Adipo_3" "Adipo_4" "Adipo_5" "Adipo_6" "Adipo_7" "Adipo_8" "Adipo_9" "Endo_0" "Endo_1" "Endo_10" "Endo_11" "Endo_2" "Endo_3" "Endo_4" "Endo_5" "Endo_6" "Endo_7" "Endo_8" "Endo_9" "FAP_0" "FAP_1" "FAP_10" "FAP_11" "FAP_12" "FAP_13" "FAP_2" "FAP_3" "FAP_4" "FAP_5" "FAP_6" "FAP_7" "FAP_8" "FAP_9" "Immune_0" "Immune_1" "Immune_10" "Immune_11" "Immune_12" "Immune_13" "Immune_14" "Immune_15" "Immune_16" "Immune_17" "Immune_18" "Immune_2" "Immune_3" "Immune_4" "Immune_5" "Immune_6" "Immune_7" "Immune_8" "Immune_9" "Myeloid_0" "Myeloid_1" "Myeloid_10" "Myeloid_11" "Myeloid_12" "Myeloid_13" "Myeloid_14" "Myeloid_15" "Myeloid_2" "Myeloid_3" "Myeloid_4" "Myeloid_5" "Myeloid_6" "Myeloid_7" "Myeloid_8" "Myeloid_9" "Tcell_0" "Tcell_1" "Tcell_10" "Tcell_2" "Tcell_3" "Tcell_4" "Tcell_5" "Tcell_6" "Tcell_7" "Tcell_8" "Tcell_9"
"X1950sc" 2.09661361046912 2.10875908220611 3.09142354345446 -0.0140648120255083 -5.04858054365623 3.21676795105873 -2.9900978631409 0.913503005066777 0.585617669759023 3.02569557763345 0.709860501557259 -0.346837768327853 0.0679729159244834 0.298130627333143 -0.218113426641141 1.97968780711099 2.0837545017647 1.37141260366022 -1.29369847057193 0.972309474575298 -3.09695765841417 2.30625237122145 3.31914531707007 -1.51873768792259 -1.06534053193615 0.131974076376214 0.767876369543379 0.828501191114456 -0.783645516142576 1.46620448226293 -2.14162916600866 -1.49116241083201 -0.0774142275289056 -4.9982945754008 0.31453836825281 -1.21977224826648 -1.51553876987367 -0.365069302287454 -1.90908492525319 -2.45329111924038 2.86212157548003 2.22429330112553 0.208330211928078 0.530462768329491 -2.29091697934407 -1.11743267846059 -0.392613185932041 -1.07265152213541 2.82447955383263 -0.881109015462324 0.11040648535687 -0.543973010910796 -1.24071992357683 3.90838452802378 1.01659311619618 0.104220340003965 0.0975305794954841 2.11618282852809 0.530924531008383 -0.980775627717088 -0.478802504650123 -1.48040748214425 1.20546450594626 0.931326055462227 -0.247048555764705 -1.37501952535536 0.840119559012831 0.901685215228242 -2.60527391332832 -4.8732370017073 0.542439550940197 0.0603024412821601 2.47062276257704 -0.271858453788218 -0.351559329673816 -0.404311631452862 1.20106642736695 -0.25695525074943 -1.27605591372312 1.7789772270314 0.523412513739225 -0.966923658645306
"X1950vis" -0.90639728001048 -1.27387585519161 1.00047575260751 0.906417739402302 5.60076360762633 0.655706525701204 4.16301221458357 1.11494052338545 2.23031572838689 -1.41738274279639 0.342018664956734 0.27223717144341 3.12814873406135 -1.03928271494344 -0.645810543071736 0.962355692315402 -0.114294584982017 2.22995394798999 2.32319913442925 3.95224090065143 2.38987759179447 -0.106177535789469 -1.04760047682773 1.38065942589979 -0.920103340934497 -1.11482255516548 1.45953592462727 0.193492642154051 1.04949872693337 0.12789800713666 2.04395209286309 0.91857441558843 2.08115543557808 5.11004670298321 0.703090465439937 -0.845695581050992 2.07175246565515 3.05128642826001 0.329295214255779 2.62091249869885 0.00919263956829482 -1.32711059883309 1.29471103030874 -0.38540138117337 0.390991792717345 -0.963508500970933 -0.783342552404404 0.94032813299221 -1.50888991630363 -2.48652754152835 -3.62009173006767 2.31693649658908 -0.626171788605648 -1.78483534542678 -1.93932678134723 2.37856941772669 2.04156486587868 -1.11679635472725 1.88121930423717 1.13577229344657 2.73231428093613 -0.746609076332184 -2.07428614295019 -1.07123176945086 -2.48130225358092 1.32184023120547 -1.27564849470971 -1.99234362984838 0.782963630859328 4.77806025320647 -1.24968454534732 0.416704074682244 0.128874799309889 0.987582009568867 -0.298355756362091 -2.57995379050056 3.43578273885654 -2.31958121508552 -0.291596668813373 -0.654047065691039 1.47616206616987 -0.119623679384741
"X1959sc" 2.687633963295 2.82259832054579 1.83860427550409 0.20017220693265 -3.51916339213027 -0.161505041112169 -2.99164667780796 4.00802377615867 2.64436223990334 3.91178047368811 3.39590264929947 0.234749260714102 -0.618110274965039 -0.64790588969069 -0.0982084195528055 1.8340345490896 2.52570161977002 0.900997124066907 -2.91759945925569 -2.23374199531687 -3.31219477469295 -1.85527657617985 1.59112020310619 -1.13318013394103 1.5766013108081 -1.17947243398461 1.85488691378986 -0.802482727090364 1.14460065551371 -0.2939426515916 -1.54524314037575 0.257389926431179 1.45183182063859 -4.73276433069592 0.759398995338767 -2.30075731838371 -1.19291074370101 -0.160542479899002 -5.37026191556405 -2.6276798176588 0.948333682061268 0.120935745095036 -2.62034531381873 1.376128660825 -1.47254316043748 1.52987145675615 0.124262161549663 -0.292501398488863 -1.16629648097053 1.27446305774788 -3.03462453448787 -4.14724816097207 -1.84670429267391 5.28280778237414 -1.15940539128236 -0.816342685572771 -0.97436689803809 0.186003949312828 -1.72586489688349 -0.207428339923249 -0.286441474673637 -1.66535140425819 -2.50967494964493 -1.06232007716725 -0.677992114511056 -2.01897325143164 0.0292478459636324 -1.77209829259094 -5.75658601472153 -4.25233492342283 -2.55059407420581 0.0899032967043357 -1.15335628598318 -3.12188981161873 0.0726121819261813 0.844053326304259 0.0546358815164347 1.74341862592347 -1.14661892981872 -2.18358437081941 -1.89095400252369 -1.04666594299838
"X1959vis" -2.79665631608869 -0.966400128787474 1.88625832994605 0.348907212840346 0.0393076517798047 -1.76918874211592 2.40261646767368 0.201703658488229 3.79878534871968 -3.64916653119208 0.518856137911542 -0.496688030019628 3.21647848290522 -1.73994285599511 0.71542971460995 1.39211768262754 -1.52880089778891 1.29643944008143 1.28338534575834 0.477455106321557 1.02223595063754 3.46191508606405 0.506402910076128 0.821100191891996 -2.4242736248585 1.78378288347186 2.64375241797026 0.364055955573941 -0.00883494053175043 -1.08206826925521 0.0492285761009978 -1.22529445590619 1.63551383181431 -1.06965001606586 -0.53192375384093 -0.482148613923889 0.95784876188734 3.14663295082338 4.95716860363143 0.849512913339609 -1.63012603168092 4.15680400261132 2.06621289663053 -1.33816570050332 3.7976770338843 -0.0571021739662045 -2.08958759292495 4.03326510995286 4.6243523304999 2.29464490326227 5.2212757882973 3.97413840269972 -0.171746377578492 -2.60862443779578 3.10229611726414 1.82107326203473 0.875246746609879 3.55518007188858 1.95198933240195 0.722208770179645 3.77797652248521 -0.174249776167054 -0.454214022760485 2.92609436684684 1.42747254798645 -0.730258291089114 -1.20573009908733 3.06151115152877 5.07598393687465 0.718687192936133 1.0886185841302 1.07101060320029 0.410281213186209 2.88612780136689 0.603502436540961 0.710883907774771 1.95942451812428 2.97472623784957 1.53078865834394 -2.48796332272262 1.81772468816652 1.53089692565166
"X2029sc" 4.11364252642378 7.29861570559329 0.787673804631641 -0.26501113133258 -6.52617676775776 3.33554823312104 -3.1784048274575 -0.398070259853765 0.558318857795496 7.60966304925656 2.38344213421805 -2.76996576439757 -1.04466298438439 -0.660160281705003 -1.03053029885104 0.429076831777109 1.08398798248402 -0.752134633022835 -3.51599330798526 -2.76052873356427 -4.14957365238778 0.583607885610463 0.512449302475376 -1.34583015557751 2.54174210871859 -1.41036769620497 -0.550670124891012 -0.451083975004285 -0.208365170608672 -0.327664322036461 -2.57099458874102 0.0416331218614861 -1.35537248065128 -4.92960284906136 1.00947979039449 -1.30269423115523 -0.488405961451802 -1.41304660891234 -4.82244359740608 -3.18723749957307 -3.02566589279385 0.416743793305007 -1.25771386902477 1.3877146262099 -2.54851433228315 -0.835774267422795 -0.259109811948858 -3.3133235098236 0.964775059670378 -1.06362042893929 -3.68328669047605 -4.28352800747616 -1.18066657465906 10.3119394524674 -0.854507744626889 -0.138016259907418 -0.385437520553266 0.367746724960983 -0.548111399465166 -1.50248516269916 -2.98685809086365 -1.48035680906405 -1.03237302499772 -0.300942474975316 -2.00376958950973 -0.801017892718384 -0.190954010316431 -1.26509976250198 -5.60549596933107 -5.96489303158425 -2.5817233328299 -1.74812651817812 1.53983337523117 -2.00780781834717 -0.233595099322178 -0.785560771070275 0.0565593833507542 -0.638044363530685 -1.17996412827227 1.67119283875454 -2.08618074836886 -0.301789821158331
"X2029vis" -1.56036570208611 -1.05178030319248 1.23279711515228 1.64734234132789 4.7859751393405 0.730439791285703 6.0919699635625 -1.354028658732 -0.500365163934745 -5.22796800247857 -2.16515689240678 -0.360098113746283 3.66326404305078 -1.91280377840232 -0.592568956066053 -1.39829968972899 -0.834734790736343 2.39091260572157 3.58031158363717 0.537334062071688 1.99365228578588 0.0490108697839144 0.554122234835778 0.644118262364679 -1.37780887427655 0.0183740793288779 0.0457817151390966 -0.657966287350041 1.33430184009842 -0.593621614194701 2.1924276599465 1.02102743914218 2.48052629051382 5.7407853982257 -0.235906417973518 -0.151369549477055 1.93053815429076 2.90289969702651 2.65863962974292 2.00998195766551 1.92453866378083 -1.28352297275509 1.55657531970961 -1.88596833425762 2.44226568376898 -1.23779778046958 -0.518921060379338 1.88864368077477 -1.92896628558617 0.0951575864237621 -0.778632184888571 1.59797677965545 0.178040945051803 -2.60652923944182 -1.17032714364365 1.97855620913316 2.14811266889566 -1.29990643056011 1.75164461341068 0.981847852007582 0.484874309314988 0.166823338149234 -0.543426063160089 -1.47821020699559 -0.532925261534482 0.22589332187833 -0.732021412514506 -1.07243955430804 3.51582576126104 3.24504392425289 -0.172796329286169 1.14739822482309 -0.258332485020012 1.13015600781152 1.21799021859298 -0.576567922621475 3.49995080166586 -0.334065914755181 1.41787878628542 1.71310419871924 2.02204240415459 1.06181895065838
"X2039sc" 0.71264576515541 3.24125184578329 0.357323729426254 -2.93374729568885 -9.40102305558081 -2.14589058324959 -8.06342042622721 -0.624738763767921 0.806230180908471 4.35566311035438 1.85971782396936 -0.000195145797481158 -4.43977635983162 -1.43594219969692 1.04341437684506 1.31206200670223 0.944256146767783 -1.69511275502001 -3.60591014038594 -3.14532919011179 -3.39687589506562 1.42364604709901 1.24697218377722 -1.66480571691604 2.06540160134652 -0.744864143736166 0.804257345625905 0.062541155337832 -3.63930306349781 2.74152587107195 -3.72300127935719 0.0536046986560352 -3.8456866545057 -8.27515680999891 -0.373485726732127 -1.57562585332446 -4.64989936936003 -4.35593997596416 -5.75447980870026 -4.20028787799034 -3.45583642350512 2.37324204970951 -3.45588524295245 0.107982231726154 -4.13047979491563 -0.310359403924389 -0.514813619253019 -4.12255939601769 2.71717998194729 -0.497582499701893 -2.55081065675513 -7.1492271758042 -1.36317808020224 5.17086735687612 2.73502202072805 -4.76933722289096 -4.80573143422936 1.86808163649582 -4.06664534984818 -2.30601125974308 -2.75121636064424 -1.55913320520335 1.51037550687005 3.39869552455463 -1.05758143603421 -1.97213362642688 1.43309994507717 2.80005789541014 -6.9039361268837 -5.79948261993443 -0.515094171605038 -4.05614392687107 1.29210544485977 -4.29788809239932 0.0981897486883044 0.406640624534401 -3.29651915886104 0.0190904327658427 -2.16695686727998 -2.50643802314709 -4.28112168668484 -3.39305110135765
"X2039vis" -0.253700448352766 1.22957827534411 1.00635520369732 0.724134431905827 2.84172945663362 0.501422701654547 2.59953369351057 0.692846715749584 3.7772805629605 2.25411161773062 2.20509937887419 1.30863416614274 1.17873697091952 -0.843435015148976 -0.121228924502509 0.534459004032666 -1.78573874767316 0.342569748419262 0.611375892480584 3.64794809887164 1.59014181909737 0.606901547020309 -0.00674764915413427 1.090200668786 0.374507637165953 -1.10358472811672 2.10195286714541 0.209592235895387 0.782840946989209 -1.91140795601501 1.91515788228656 -0.277299997557046 1.6559288550056 3.82573714738749 1.42769737307146 -0.720264719978543 1.45175911685186 1.46588298767812 -0.263839830994705 1.37536783276343 -3.0917843128305 -1.65174106461583 1.49889263055516 -0.563696473908767 -0.861987843861235 -1.64772359402033 -0.620124016897992 -0.3004238339546 -0.399189513872751 -0.603183176977786 -2.77158229221993 0.300329322956963 -0.000181984807931898 1.54372478288898 -1.52066819474911 1.24603265735514 1.24065080057352 -1.43714269905898 1.9471513024199 1.15769688274202 3.76915797864204 0.0489046280297327 -2.5582984675183 -1.31474428501871 -1.0677673359848 -0.65683718805933 -0.757036017094126 -1.16578964958657 0.304563028132912 2.93218574455405 -2.00617744019112 0.280842389549821 0.68513997922336 1.21476713790878 -0.238537983777644 -0.0542924603001847 1.67894086597359 -0.126730308137547 -0.284044341920336 -0.870743774724763 0.472636691886779 0.267559467949401
"X2040sc" 1.9025285744794 2.20709886826974 -0.166625210468136 0.0830183541719009 -2.91865541919099 1.14425681891279 -3.20118368902739 2.63330303748438 0.670819083581314 4.60152457649323 1.83506899034203 -0.448193382425606 -0.696327495409441 0.168656446694638 0.00553041989663598 1.05173279942997 2.64035621353616 0.624978000873529 -1.64387606422448 2.20185947506641 -1.44824264633263 0.423323169033487 2.11096821555932 -1.05895220883731 1.43402039034155 0.700690996061613 0.249430080347817 -2.01419873553252 0.434123886864506 2.45576474619053 -1.6487975364706 1.10622570055507 0.804425287727031 -4.1813853949867 1.93242531839174 0.436604518442211 -1.70220699098707 -0.438443686664312 -2.71438223693493 -1.74910268992997 1.04776340286483 0.278593256456534 -1.01668979528946 1.2301881501044 -1.88582005162998 0.0422390779355906 0.544312704854555 -0.652761056710351 0.48893602377655 -0.351416447694423 1.92243532373494 -1.99473303384723 -1.1171027407817 3.6716390462967 -0.25528201069778 -1.29663232870295 -1.61420544395216 0.346470132942882 -0.85529213578239 0.0284701833376415 -0.429855080528669 -1.25464286354751 -1.01726743414192 0.706635968831422 1.84155828490158 -1.58694001742452 1.30988763442941 -0.191921268649026 -3.13943660040155 -1.68026799602451 -0.599896369674394 -0.143156108192114 0.667759533125931 -0.992351177126517 -0.814503284093993 0.93155722499404 -0.44402918327537 -0.0511109896481889 -0.860463561302188 -3.01925555873574 -0.374839647774031 -0.199652518451851
"X2040vis" -1.54167103211334 -10.4712370971718 0.491474203546741 2.26375042822296 9.76858186481114 0.696203363669587 6.73282610638787 0.309837952866034 3.05199951079282 -3.9736364497466 -0.148698552279406 1.00761453140251 2.37958265567323 2.11223233204821 0.440998684664251 -0.484941527388554 -0.421398526431242 2.42440470143844 3.64451766805648 -0.541221575356372 3.95998737703118 -1.01176036818568 -3.52238755392874 1.49305292971076 -0.862201946486132 0.141865528075805 2.81944653496793 1.50060931669691 2.28752573964571 1.04093176481934 3.92218700372154 1.51787208538344 3.78881817098329 7.87152867163855 0.129961793723196 0.5369971632433 1.77176980710088 4.41369200819927 3.29448572693109 4.03644549059012 2.60335182020461 -1.52241298845074 0.344980011183376 -1.26673803210394 1.07549474131311 1.09469172870275 0.273806854304527 1.22634199509232 -1.77356297786736 -1.26769129449942 1.17277857030935 11.5454382341529 1.86063712987664 -7.98315872938159 -1.02523852765284 1.50326476276091 0.835186407777599 -1.42079065569903 0.766341382116171 2.45137535656572 7.71375913225214 2.23227834208098 0.377481247063631 -1.11536031934167 0.372874220712745 4.90773529966458 0.175821012053541 -1.08075063030505 3.96515808636108 7.91785282079162 0.876842220683084 1.08465648445788 -1.23183313456889 2.00304328664604 -0.246177506491377 -1.45959931641766 0.555203961379868 -1.14863477743933 1.91022086425886 -2.614063300894 2.99519735063333 1.65087839580841
